Title,Author,Published,Description,Score,Ratings,Image
Anglicising Romance,Rhiannon Purdie,2008,"A reappraisal of the tail-rhyme form so strongly associated with medieval English romance. Tail-rhyme romance units a French genre with a continental stanza form, so why was it only developed in Middle English literature? This volume seeks to explain why and how the tail-rhyme form established itself in medieval English romantic verse.",,,http://books.google.com/books/content?id=nPwsFO6WXsAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Ancient Romances,Ben E. Perry,2023-07-28,"This title delves into the origins and development of ancient romance literature, expanding upon a series of lectures given by Ben Edwin Perry at the University of California in 1951. This scholarly work examines the romance genre's historical foundations and explores two main branches: the ideal romance of love and adventure and the ""comic"" romance, a form characterized by satire, mockery, and picaresque elements. In Part I, Perry addresses the ""ideal romance,"" a popular form among the masses, centered on idealized narratives of love and adventure. He traces its evolution, emphasizing the genre's widespread appeal and the continuity in its demand throughout the ancient world. By addressing key literary-historical questions, Perry brings to light the genre's foundational aspects, situating it within broader cultural and social contexts. Part II shifts focus to ""comic romances,"" distinct for their humorous, satirical tone and their appeal to a more elite, educated audience. Perry explores works by writers like Petronius, Lucian, and Apuleius, analyzing how their unique perspectives and sophisticated storytelling approaches diverge from the more traditional ideal romances. Unlike ideal romances, comic romances are marked by individual authors’ intentions and personal motives, leading to distinctive interpretations and varied narrative styles. By distinguishing between these genres and examining their respective conventions, Perry offers insights into the interplay between narrative forms and cultural expectations, contributing a significant perspective on the evolution of ancient romance literature and its lasting influence on modern narrative structures. This title is part of UC Press's Voices Revived program, which commemorates University of California Press’s mission to seek out and cultivate the brightest minds and give them voice, reach, and impact. Drawing on a backlist dating to 1893, Voices Revived makes high-quality, peer-reviewed scholarship accessible once again using print-on-demand technology. This title was originally published in 1967.",,,http://books.google.com/books/content?id=esPLEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Romance Writing,Lynne Pearce,2007-01-05,"Exploring the nature of both the romance genre and the discourse of romantic love from the 17th century to the present day, this book shows how, in the history of literature, lovers have utilised its spark to change not only themselves but also their worlds, through acts of creativity and heroism.",,,http://books.google.com/books/content?id=we4jl507M4EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Nine Medieval Romances of Magic,Marijane Osborn,2010-03-05,"In this book, Marijane Osborn translates into modern English nine lively medieval verse romances, in a form that both reflects the original and makes the romances inviting to a modern audience. All nine tales contain elements of magic: shapeshifters, powerful fairies, trees that are portals to another world, and enchanted clothing and armor. Many of the tales also feature powerful women characters, while others include representations of “Saracens.” The tales address issues of enduring interest and concern, and also address sexuality, agency, and identity formation in unexpected ways.",,,http://books.google.com/books/content?id=3qdaDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Cambridge History of English Poetry,Michael O'Neill,2010-04-29,A literary-historical account of English poetry from Anglo-Saxon writings to the present.,,,http://books.google.com/books/content?id=AyG3cTbcXIcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Illustration in Fin-de-Siècle Transatlantic Romance Fiction,Kate Holterhoff,2022-03-07,"This book examines illustrations created to accompany fictions written by several of the most popular authors published in Britain and America between 1885 and 1920. By studying the lavish illustrations that complemented not only initial serializations, but also subsequent publications of fictions by H. Rider Haggard, Rudyard Kipling, James De Mille, Robert Louis Stevenson, and H. G. Wells, the book demonstrates the significance of images to the fin de siècle romance form. In order to make fantastic plots seem possible, graphic artists worked hand in hand with authors to not only fill gaps in audience understanding, but also expand and deepen the meaning of these marvels. The book will be of interest to scholars working in art history, visual culture, illustration studies, British and American history, and British and American literature.",,,http://books.google.com/books/content?id=2dNYEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Third Language Acquisition and Universal Grammar,Yan-kit Ingrid Leung,2009-01-01,"This volume presents studies which approach the relatively new field of third language (L3) acquisition from the generative linguistic perspective. It aims to bring together researchers who are interested in L3 acquisition and who are at the same time working within the generative framework i.e. Chomsky's Universal Grammar (UG) approach to language acquisition. A total of nine contributions are included, reporting research on L3 involving different combinations of source/target languages and investigating various UG-related properties.",,,http://books.google.com/books/content?id=Qdnp16KpJJYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Novel Definitions,Cheryl L. Nixon,2008-12-30,"Novel Definitions captures the lively critical debate surrounding the invention of the English novel, showing how the rise of the novel is accompanied by a rise in popular literary criticism. The over 135 pieces here, many newly-discovered, include essays, prefaces, reviews, and sermons written by authors ranging from Aphra Behn to Walter Scott. Novel Definitions brings together authors' commentary on their work; debates concerning the novel’s formal qualities and cultural position, including who should read novels; reviewers' definitions of the qualities that make a novel successful; and literary historians' first attempts to write the history of the novel.",,,http://books.google.com/books/content?id=DWW7AAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Historical Linguistics 2005,"Joe Salmons, Shannon Dubenion-Smith",2007,Printbegrænsninger: Der kan printes 10 sider ad gangen og max. 40 sider pr. session,,,http://books.google.com/books/content?id=3fSsa7DPlNQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"English Prose Fiction in the Free Public Library, Newark",Newark Public Library,1900,,,,http://books.google.com/books/content?id=O04yAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
